Yield_CT,Yield_change,Latitude,Longitude,Crop,Crop_rotation_CT,Soil_cover_CT,Weed_pest_control_CT,P,E,PB,Tave,Tmax,Tmin,ST
13100.0,-0.1069,31.68,121.56,rice,0,0.0,1.0,838.1,440.514,397.586,24.72,31.38759,17.53496,Loam
9100.0,-0.3165,44.87,20.33,maize,0,0.0,1.0,375.6,552.309,-176.709,18.85714,31.47928,6.71796,Loam
7672.0,0.187,40.65,-104.98,maize,0,0.0,1.0,197.5,567.114,-369.614,14.04286,29.94307,-9.69776,Loam
10200.0,-0.0196,45.5,-73.58,maize,0,0.0,1.0,580.8,514.048,66.752,16.43333,27.26004,6.13498,Loam
12700.0,-0.1181,42.02,-93.75,maize,1,0.0,1.0,447.3,549.174,-101.874,19.25,30.55226,2.8713,Loam
3710.0,-0.1563,-33.67,-70.63,wheat.winter,1,0.0,1.0,453.0,657.866,-204.866,19.9625,28.06268,3.77173,Clay loam
6000.0,0.3167,25.58,85.4,maize,0,0.0,1.0,638.7,396.206,242.494,30.025,35.45598,26.29375,Loam
8600.0,-0.1477,44.87,20.33,maize,0,0.0,1.0,652.7,521.411,131.289,17.97143,29.63389,7.03558,Loam
5990.0,0.172,35.18,-102.08,sorghum,0,0.0,1.0,354.8,541.191,-186.391,22.78,32.22011,12.20282,Loam
13880.0,-0.1751,45.2,9.68,maize,0,0.0,1.0,256.1,483.236,-227.136,15.73333,24.67301,5.33668,Loam
2304.0,0.2326,55.72,-118.68,barley.spring,1,0.0,1.0,356.3,403.232,-46.932,13.76,23.10267,3.78969,Clay loam
3300.0,0.0303,31.38,72.03,maize,0,1.0,1.0,499.7,394.544,105.156,31.78,40.21164,21.4263,Loam
7446.0,-0.0391,27.55,-109.15,wheat.winter,0,0.0,1.0,109.5,697.584,-588.084,25.08571,36.77015,8.98828,Loam
5326.0,0.0749,40.65,-104.98,maize,0,0.0,1.0,197.5,567.114,-369.614,14.04286,29.94307,-9.69776,Loam
9055.0,-0.1238,44.73,-93.12,maize,0,0.0,1.0,602.3,482.961,119.339,16.83333,27.21006,1.8438,Loam
5698.0,0.1836,-13.97,33.65,maize,0,0.0,1.0,650.2,643.985,6.215,25.35,25.68532,14.17448,Sandy clay loam
3810.0,0.0341,64.68,25.08,barley.spring,0,0.0,1.0,252.1,296.794,-44.694,12.34,24.40891,3.2178,Sandy clay loam
3433.0,0.1424,-23.18,-51.18,soybean,1,0.0,1.0,1283.8,683.274,600.526,26.13333,29.58086,16.00595,Clay
11195.0,-0.1221,51.33,-85.33,maize,0,0.0,1.0,262.0,379.32,-117.32,11.15,22.09153,-0.10379,Clay
12000.0,0.0917,31.38,72.03,maize,0,0.0,1.0,489.9,406.5,83.4,30.62,38.91278,19.24657,Loam
12853.0,-0.0004,-34.67,-71.63,maize,0,0.0,1.0,68.5,810.192,-741.692,21.1,26.84079,6.93742,Clay loam
2630.0,0.1939,38.0,-84.5,maize,0,0.0,1.0,700.5,538.405,162.095,21.33333,33.3985,8.79652,Loam
10720.0,0.0942,45.2,9.68,maize,0,0.0,1.0,216.7,499.893,-283.193,15.98333,27.22127,5.96513,Loam
5627.0,-0.0739,19.52,-98.83,wheat.winter,1,0.0,1.0,328.2,658.696,-330.496,13.5,22.96478,3.24181,Loam
4010.0,-0.1197,-36.1,146.42,wheat.winter,0,0.0,1.0,476.0,267.235,208.765,11.58571,22.51912,4.13844,Sandy clay loam
2470.0,-0.3401,30.54,-96.43,wheat.winter,0,0.0,1.0,1308.4,700.501,607.899,20.45556,33.26315,5.66045,Loam
3640.0,-0.0522,42.02,-93.75,soybean,0,0.0,1.0,607.2,500.912,106.288,18.06667,26.38556,5.33935,Loam
3508.0,-0.0077,40.47,-86.98,soybean,0,0.0,1.0,719.1,490.112,228.988,18.5,28.35973,5.22823,Loam
2295.0,-0.1974,37.72,140.38,soybean,0,0.0,0.0,625.8,344.494,281.306,21.975,29.27514,14.09053,Loam
95.0,14.7263,41.8,1.12,barley.winter,0,0.0,1.0,64.5,481.599,-417.099,16.07143,28.90953,-2.60291,Loam
4947.0,-0.2038,35.33,111.28,wheat.winter,0,0.0,1.0,497.5,573.151,-75.651,14.44,27.42995,-5.17057,Loam
9100.0,0.022,45.5,-73.58,maize,0,0.0,1.0,516.0,477.15,38.85,16.68333,25.61568,4.57945,Loam
1040.0,0.0192,45.3,-73.35,soybean,0,0.0,1.0,363.7,405.46,-41.76,17.44,28.03758,4.98223,Loam
7500.0,0.3333,25.58,85.4,maize,0,0.0,1.0,398.7,432.079,-33.379,30.5,37.48028,25.51267,Loam
3104.0,0.1108,34.3,-86.02,soybean,0,0.0,1.0,884.2,513.111,371.089,19.98333,33.63775,0.96998,Loam
